knowledge1,knowledge2
自变量,双线性函数
自变量,可测函数
自变量,基本函数
自变量,对合
自变量,对数函数
自变量,损失函数
自变量,数值分析
自变量,最优解
自变量,极值点
自变量,梯度方向
自变量,特征函数
自变量,目标函数
自变量,积分
自变量,链式法则
自然对数,基本函数
自然对数,对数函数
自然对数,特征函数
范数,巴拿赫空间
范数,拓扑线性空间
范数,离散空间
虚拟地址,地址计算
虚拟地址,虚拟地址空间
虚拟地址空间,地址计算
虚拟地址空间,虚拟存储管理
解码器,信噪比
解码器,失真
解释程序,计算机系统
计数值,排列
计算复杂性,NP难问题
计算复杂性,图解法
计算复杂性,多项式时间算法
计算机系统,分布式操作系统
计算机系统,多用户系统
计算机系统,实时操作系统
计算机视觉,图像分类
训练集,批量
训练集,自助法
访问冲突,冲突检测
访问冲突,冲突避免
访问控制,冲突避免
访问控制,访问冲突
误差逆传播算法,深度学习
误差逆传播算法,自组织神经网络
调度策略,资源分配
贝叶斯公式,先验分布
贝叶斯公式,后验分布
贝叶斯公式,最优估计
贝叶斯公式,条件分布
贝叶斯公式,样本分布
贝叶斯公式,贝叶斯估计
贝叶斯公式,贝叶斯决策
贝叶斯公式,贝叶斯方法
贝叶斯方法,贝叶斯估计
贝叶斯方法,贝叶斯决策
赋值,赋值语句
赋值语句,代码优化
赋值语句,初始化值
赋值语句,原子性
赋值语句,原子操作
赋值语句,语法错误
赋值语句,面向对象程序设计
路由信息协议,协议族
路由信息协议,单臂路由器
转移概率,转移概率矩阵
转移概率,马尔可夫链
转移概率矩阵,平衡分布
转移概率矩阵,遍历链
转移概率矩阵,随机游动
转移概率矩阵,随机游走
转移概率矩阵,马尔可夫链
软件中断,中断处理
软件中断,中断源
输入规模,输入输出
输出,可视化分析
输出,标准输出
输出反馈,模拟信号
运行时间,黑箱
远程访问,云计算
连续时间系统,卡尔曼滤波
连续时间系统,模拟信号
连通图,最短路径
迭代循环,快速排序
迭代循环,迭代计算
迭代计算,行迭代
递归函数,快速排序
递归函数,递归分析
递归函数,递归调用
递归性,递归函数
递推关系,递归性
逻辑地址,地址映射
逻辑地址,地址计算
逻辑地址,存储分配
逻辑地址,逻辑地址空间
逻辑地址空间,地址计算
逻辑斯谛分布,逻辑斯谛回归
逻辑结构,抽象类
逻辑结构,虚拟地址
逻辑结构,逻辑地址
逻辑表达式,代码优化
逻辑表达式,初始化值
逻辑表达式,单元测试
逻辑表达式,流程控制
逻辑表达式,赋值语句
遍历过程,平衡分布
遍历过程,随机游动
遍历过程,随机游走
遍历过程,马尔可夫链
邻域,极值点
邻域,极大值
邻域,极小化
采样,似然
采样,似然函数
采样,傅里叶变换
采样,增量学习
采样,最优估计
采样,最大似然估计
采样,样本点
采样,随机梯度下降法
采样,预测误差
重构,代码优化
链式法则,深度学习
链表,单链表
链表,双向链表
链表,邻接表
阶乘,级数求和
除法,偶数
除法,分数
除法,整除
除法,比例
除法,贝叶斯公式
随机序列,随机游走
随机性,p值
随机性,t分布
随机性,二项分布
随机性,似然
随机性,似然函数
随机性,先验分布
随机性,先验概率
随机性,几何分布
随机性,加密
随机性,加密技术
随机性,参数估计
随机性,后验分布
随机性,后验概率
随机性,均匀分布
随机性,密码学
随机性,密码算法
随机性,平均查找长度
随机性,平衡分布
随机性,抽样
随机性,无偏估计
随机性,最优估计
随机性,最大似然估计
随机性,条件分布
随机性,条件概率
随机性,样本分布
随机性,样本点
随机性,样本空间
随机性,概率
随机性,概率分布
随机性,概率论
随机性,模拟退火算法
随机性,点估计
随机性,状态估计
随机性,状态转移概率
随机性,矩估计
随机性,确定性算法
随机性,神经网络算法
随机性,蒙特卡洛方法
随机性,计算复杂性
随机性,贝叶斯估计
随机性,贝叶斯公式
随机性,贝叶斯决策
随机性,贝叶斯方法
随机性,转移概率
随机性,转移概率矩阵
随机性,逻辑斯谛分布
随机性,遗传算法
随机性,采样
随机性,随机存取机
随机性,随机搜索
随机性,随机数
随机性,随机梯度下降法
随机性,随机游动
随机性,随机游走
随机性,马尔可夫链
随机性,高级加密标准
随机搜索,平均查找长度
随机搜索,搜索引擎
随机数,伪随机数
随机数,随机搜索
随机游动,深度学习
随机游动,神经网络算法
随机游动,随机梯度下降法
随机游走,深度学习
随机游走,神经网络算法
随机游走,随机梯度下降法
静态语义,代码优化
静态语义,语法错误
面向对象程序设计,单继承
面向对象程序设计,多继承
面向对象程序设计,抽象类
面向对象程序设计,操作符重载
面向对象程序设计,类函数
面向对象程序设计,类结构
面向对象程序设计,继承
面向对象程序设计,继承属性
面向对象程序设计,面向对象方法
顺序查找,平均查找长度
预测误差,下降法
预测误差,下降算法
预测误差,人工神经网络
预测误差,假值
预测误差,前馈网络
预测误差,损失函数
预测误差,深度学习
预测误差,神经网络模型
预测误差,神经网络算法
预测误差,误差逆传播算法
预测误差,随机梯度下降法
频域,信号处理
频域,信噪比
马尔可夫链,平衡分布
马尔可夫链,遍历链
马尔可夫链,随机游动
马尔可夫链,随机游走
